reward_id,type,description,
600000001,property_share,"8% share is for supporters, with possible greater future value.",
600000002,Commemorative T-shirt,A Commemorative T-shirt with signature of participants,
600000003,property_share,"10% stock share is for supporters, with possible greater future value.",
600000004,property_share,"15% stock share is for supporters, with possible greater future value.",
600000005,Promo Code, Promo Code to get discount on our project,
600000006,Commemorative Tote,The commemorative Tote for chorus,
600000007,compensation,$40 per hour for your work,
600000008,product,A smart bag after accomplish the project,
600000009,List_on_builder,The name on builders’ list.,
600000010,List_on_builder,The name on supporters’ list.,
600000011,compensation," ""$20 per hour for your work"".",
600000012,Poster,A poster with signature of participants,